sessionKey,serviceName,packetMethod,packetUriSender,packetResponseCode,packetResponseTime
440,ts-order-service,PUT,192.168.224.1,400,7
441,ts-order-service,PUT,192.168.224.1,400,6
442,ts-order-service,PUT,192.168.224.1,400,6
443,ts-order-service,PUT,192.168.224.1,400,8
444,ts-order-service,PUT,192.168.224.1,400,5
445,ts-order-service,PUT,192.168.224.1,400,6
446,ts-order-service,PUT,192.168.224.1,400,14
447,ts-order-service,PUT,192.168.224.1,400,8
448,ts-order-service,PUT,192.168.224.1,400,8
449,ts-order-service,PUT,192.168.224.1,400,7
450,ts-order-service,PUT,192.168.224.1,400,8
451,ts-order-service,PUT,192.168.224.1,400,6
452,ts-order-service,PUT,192.168.224.1,400,6
453,ts-order-service,PUT,192.168.224.1,400,6
454,ts-order-service,PUT,192.168.224.1,400,7
455,ts-order-service,PUT,192.168.224.1,400,5
456,ts-order-service,PUT,192.168.224.1,400,7
457,ts-order-service,PUT,192.168.224.1,400,7
458,ts-order-service,PUT,192.168.224.1,400,8
459,ts-order-service,PUT,192.168.224.1,400,8
460,ts-order-service,PUT,192.168.224.1,400,5
461,ts-order-service,PUT,192.168.224.1,400,6
624,ts-order-service,GET,192.168.224.1,500,16
625,ts-order-service,GET,192.168.224.1,500,11
626,ts-order-service,GET,192.168.224.1,500,10
627,ts-order-service,GET,192.168.224.1,500,9
628,ts-order-service,POST,192.168.224.1,500,13
629,ts-order-service,POST,192.168.224.1,500,10
630,ts-order-service,POST,192.168.224.1,500,9
631,ts-order-service,POST,192.168.224.1,500,8
632,ts-order-service,POST,192.168.224.1,500,7
633,ts-order-service,POST,192.168.224.1,500,11
634,ts-order-service,POST,192.168.224.1,500,7
635,ts-order-service,POST,192.168.224.1,500,7
636,ts-order-service,POST,192.168.224.1,500,6
637,ts-order-service,POST,192.168.224.1,500,7
638,ts-order-service,POST,192.168.224.1,500,7
665,ts-order-service,POST,192.168.224.1,500,7
666,ts-order-service,POST,192.168.224.1,500,9
667,ts-order-service,POST,192.168.224.1,500,7
668,ts-order-service,POST,192.168.224.1,500,7
669,ts-order-service,POST,192.168.224.1,500,8
670,ts-order-service,POST,192.168.224.1,500,7
671,ts-order-service,POST,192.168.224.1,500,6
672,ts-order-service,POST,192.168.224.1,500,8
673,ts-order-service,POST,192.168.224.1,500,7
674,ts-order-service,POST,192.168.224.1,500,7
675,ts-order-service,POST,192.168.224.1,500,8
676,ts-order-service,POST,192.168.224.1,500,7
677,ts-order-service,POST,192.168.224.1,500,7
678,ts-order-service,POST,192.168.224.1,500,6
679,ts-order-service,POST,192.168.224.1,500,6
702,ts-order-service,GET,192.168.224.1,400,12
703,ts-order-service,GET,192.168.224.1,400,7
704,ts-order-service,GET,192.168.224.1,400,7
705,ts-order-service,GET,192.168.224.1,500,7
706,ts-order-service,GET,192.168.224.1,500,9
707,ts-order-service,GET,192.168.224.1,400,8
708,ts-order-service,GET,192.168.224.1,400,6
709,ts-order-service,GET,192.168.224.1,400,7
710,ts-order-service,POST,192.168.224.1,200,8
711,ts-order-service,POST,192.168.224.1,500,6
712,ts-order-service,POST,192.168.224.1,500,6
713,ts-order-service,POST,192.168.224.1,200,7
714,ts-order-service,POST,192.168.224.1,500,8
715,ts-order-service,POST,192.168.224.1,200,7
716,ts-order-service,POST,192.168.224.1,200,8
717,ts-order-service,POST,192.168.224.1,500,7
718,ts-order-service,POST,192.168.224.1,200,8
719,ts-order-service,POST,192.168.224.1,200,8
720,ts-order-service,POST,192.168.224.1,200,7
721,ts-order-service,GET,192.168.224.1,500,7
722,ts-order-service,GET,192.168.224.1,200,8
723,ts-order-service,DELETE,192.168.224.1,500,7
724,ts-order-service,DELETE,192.168.224.1,405,9
729,ts-order-service,GET,192.168.224.1,200,5
730,ts-order-service,GET,192.168.224.1,403,13
731,ts-order-service,GET,192.168.224.1,403,5
732,ts-order-service,GET,192.168.224.1,403,6
733,ts-order-service,GET,192.168.224.1,403,6
734,ts-order-service,GET,192.168.224.1,403,7
735,ts-order-service,GET,192.168.224.1,403,7
736,ts-order-service,GET,192.168.224.1,403,7
737,ts-order-service,GET,192.168.224.1,403,6
738,ts-order-service,GET,192.168.224.1,403,4
739,ts-order-service,GET,192.168.224.1,403,5
740,ts-order-service,GET,192.168.224.1,403,5
741,ts-order-service,GET,192.168.224.1,403,5
742,ts-order-service,GET,192.168.224.1,403,6
743,ts-order-service,GET,192.168.224.1,403,5
744,ts-order-service,GET,192.168.224.1,403,7
